Class or Package Name, Initialization Kind, Reasons
boolean, BUILD_TIME, primitive types are initialized at build time
byte, BUILD_TIME, primitive types are initialized at build time
byte[], BUILD_TIME, arrays are initialized at build time
byte[][], BUILD_TIME, arrays are initialized at build time
char, BUILD_TIME, primitive types are initialized at build time
com.fasterxml.jackson, BUILD_TIME, from jar:file:///mnt/c/Files/Workspace/Mine/Java/webtools/target/webtools.jar!/META-INF/native-image/com.onysakura/webtools/native-image.properties with 'com.fasterxml.jackson'
com.oracle.graal, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateUtil$Target_com_oracle_svm_core_SubstrateUtil, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.SubstrateUtil$Target_java_io_FileOutputStream, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.Target_java_lang_Terminator, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.aarch64.AArch64LibCHelper$CPUFeatures, BUILD_TIME, classes annotated with CStruct are always initialized and classes annotated with CContext are always initialized
com.oracle.svm.core.aarch64.AArch64LibCHelperDirectives, BUILD_TIME, CContext.Directives must be eagerly initialized
com.oracle.svm.core.amd64.AMD64LibCHelper$CPUFeatures, BUILD_TIME, classes annotated with CStruct are always initialized and classes annotated with CContext are always initialized
com.oracle.svm.core.amd64.AMD64LibCHelperDirectives, BUILD_TIME, CContext.Directives must be eagerly initialized
com.oracle.svm.core.c.Target_org_graalvm_nativeimage_c_function_CEntryPointLiteral, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.c.function.CEntryPointCreateIsolateParameters, BUILD_TIME, classes annotated with CStruct are always initialized
com.oracle.svm.core.c.function.CEntryPointNativeFunctions$IsolatePointer, BUILD_TIME, classes annotated with CPointerTo are always initialized
com.oracle.svm.core.c.function.CEntryPointNativeFunctions$IsolateThreadPointer, BUILD_TIME, classes annotated with CPointerTo are always initialized
com.oracle.svm.core.classinitialization.ClassInitializationInfo$InitState, BUILD_TIME, enums referred in annotations must be initialized
com.oracle.svm.core.code.CodeInfo, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.code.CodeInfoImpl, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.code.CodeInfoPointer, BUILD_TIME, classes annotated with RawPointerTo are always initialized
com.oracle.svm.core.code.InstalledCodeObserver$InstalledCodeObserverHandle, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.code.SimpleCodeInfoQueryResult, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.code.UntetheredCodeInfo, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.containers.cgroupv1.CgroupV1Subsystem, RUN_TIME, for cgroup support
com.oracle.svm.core.containers.cgroupv2.CgroupV2Subsystem, RUN_TIME, for cgroup support
com.oracle.svm.core.genscavenge.AlignedHeapChunk$AlignedHeader, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.genscavenge.GCImpl$CollectionVMOperationData, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.genscavenge.HeapChunk$Header, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.genscavenge.HeapChunk$HeaderPadding, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.genscavenge.Target_java_lang_Runtime, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.genscavenge.ThreadLocalAllocation$Descriptor, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.genscavenge.UnalignedHeapChunk$UnalignedHeader, BUILD_TIME, classes annotated with RawStructure are always initialized
com.oracle.svm.core.graal.llvm.runtime.LLVMExceptionUnwind, BUILD_TIME, classes with CConstant annotations are always initialized and classes annotated with CContext are always initialized
com.oracle.svm.core.graal.llvm.runtime.LLVMExceptionUnwind$_Unwind_Context, BUILD_TIME, classes annotated with CStruct are always initialized
com.oracle.svm.core.graal.llvm.runtime.LLVMExceptionUnwind$_Unwind_Exception, BUILD_TIME, classes annotated with CStruct are always initialized
com.oracle.svm.core.graal.llvm.util.LLVMDirectives, BUILD_TIME, CContext.Directives must be eagerly initialized
com.oracle.svm.core.heap.Target_java_lang_ref_Cleaner, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_java_lang_ref_Cleaner_Cleanable, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_java_lang_ref_Finalizer, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_java_lang_ref_Finalizer_FinalizerThread, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_java_lang_ref_PhantomReference, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_java_lang_ref_Reference, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_java_lang_ref_ReferenceQueue, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_java_lang_ref_Reference_ReferenceHandler, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_java_lang_ref_SoftReference, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_jdk_internal_ref_Cleaner, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_jdk_internal_ref_CleanerFactory, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_jdk_internal_ref_CleanerImpl, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_jdk_internal_ref_PhantomCleanable, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_jdk_internal_ref_SoftCleanable, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.heap.Target_jdk_internal_ref_WeakCleanable, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.hub.DynamicHub, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.hub.HubType, BUILD_TIME, enums referred in annotations must be initialized
com.oracle.svm.core.hub.Target_java_lang_Class_ReflectionData, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.hub.Target_jdk_internal_reflect_ConstantPool, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.hub.Target_jdk_internal_reflect_ReflectionFactory, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.hub.Target_sun_reflect_annotation_AnnotationType, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.hub.Target_sun_reflect_generics_reflectiveObjects_LazyReflectiveObjectGenerator, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.hub.Target_sun_reflect_generics_reflectiveObjects_TypeVariableImpl, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.hub.Target_sun_reflect_generics_reflectiveObjects_WildcardTypeImpl, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.invoke.Target_java_lang_invoke_MemberName, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_java_awt_AWTEvent, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_java_awt_Window, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_java_awt_peer_ComponentPeer, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_DebugSettings, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_FcFontManager, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_FontConfiguration, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_UNIXToolkit, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11GraphicsConfig, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11InputMethodBase, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_GtkFileDialogPeer, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_XBaseWindow, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_XDesktopPeer, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_XInputMethod, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_XRobotPeer, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_XTaskbarPeer, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_XToolkit, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_XWindow, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_awt_X11_XlibWrapper, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_font_FcFontConfiguration, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_font_FileFontStrike, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_font_FontConfigManager, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_font_FontConfigManager_FcCompFont, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_font_FontUtilities, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_font_SunFontManager, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_java2d_loops_TransformBlit, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_java2d_opengl_OGLRenderQueue, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_java2d_opengl_OGLSurfaceData, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.JavaAWTSubstitutions$Target_sun_java2d_xr_XRBackendNative, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_Unsafe_Core, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_com_oracle_svm_core_util_VMError, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_ExpiringCache, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_FileDescriptor, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_FileDescriptor_JNI, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_FileInputStream_JNI, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_FileOutputStream_JNI, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_FileSystem, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_ObjectInputStream, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_ObjectStreamClass, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_ObjectStreamClass_Caches, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_io_UnixFileSystem, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_AssertionStatusDirectives, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_ClassLoader, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_ClassLoader_NativeLibrary, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_ClassValue, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Compiler, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Enum, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Math, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Module, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Module$ReflectionData, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_NamedPackage, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_NullPointerException, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Object, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Package, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Runtime, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_SecurityManager, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Shutdown, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_StackFrameInfo, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_StackStreamFactory, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_StackWalker, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_StrictMath, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_String, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_System, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_Throwable, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandle, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleBooleans_Array, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleBooleans_FieldInstanceReadOnly, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleBooleans_FieldStaticReadOnly, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleBytes_Array, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleBytes_FieldInstanceReadOnly, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleBytes_FieldStaticReadOnly, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleChars_Array, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleChars_FieldInstanceReadOnly, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleChars_FieldStaticReadOnly, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleDoubles_Array, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleDoubles_FieldInstanceReadOnly, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleDoubles_FieldStaticReadOnly, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleFloats_Array, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_lang_invoke_VarHandleFloats_FieldInstanceReadOnly, BUILD_TIME, substitutions are always initialized
